follow_up_id,request_id,owner_user_id,due_at,completed_at,follow_up_status
1,1000003,6,2026-02-18 14:01:00,2026-02-21 14:01:00,Completed
2,1000010,215,2026-01-20 13:53:00,,Overdue
3,1000011,38,2025-10-21 10:33:00,,Open
4,1000014,73,2026-07-04 09:00:00,,Open
5,1000015,97,2025-09-16 08:27:00,2025-09-17 08:27:00,Completed
6,1000016,62,2024-11-29 15:30:00,2024-11-29 15:30:00,Completed
7,1000017,35,2025-06-27 13:15:00,2025-06-26 13:15:00,Completed
8,1000018,71,2025-02-04 13:23:00,2025-02-03 13:23:00,Completed
9,1000019,16,2025-09-06 09:34:00,,Overdue
10,1000020,164,2025-03-07 10:54:00,2025-03-08 10:54:00,Completed
11,1000025,37,2025-03-07 15:56:00,2025-03-07 15:56:00,Completed
12,1000026,163,2025-04-23 14:19:00,2025-04-27 14:19:00,Completed
13,1000028,134,2025-11-10 15:17:00,2025-11-10 15:17:00,Completed
14,1000031,34,2025-02-18 08:23:00,2025-02-22 08:23:00,Completed
15,1000032,212,2025-11-05 08:52:00,,Open
16,1000036,164,2024-12-07 10:56:00,2024-12-07 10:56:00,Completed
17,1000040,219,2024-10-09 08:46:00,2024-10-13 08:46:00,Completed
18,1000041,117,2025-03-01 08:26:00,,Overdue
19,1000045,138,2026-03-09 10:39:00,2026-03-11 10:39:00,Completed
20,1000046,219,2025-04-11 11:40:00,,Overdue
21,1000049,83,2026-07-07 08:53:00,2026-07-11 08:53:00,Completed
22,1000051,104,2024-11-15 09:00:00,,Overdue
23,1000052,37,2024-11-09 11:25:00,2024-11-09 11:25:00,Completed
24,1000054,30,2025-11-07 12:46:00,,Overdue
25,1000055,141,2026-03-25 10:37:00,2026-03-28 10:37:00,Completed
26,1000059,126,2025-01-29 16:24:00,2025-02-01 16:24:00,Completed
27,1000061,186,2024-10-13 15:10:00,,Open
28,1000064,31,2025-09-13 10:14:00,2025-09-17 10:14:00,Completed
29,1000068,88,2025-07-30 10:57:00,2025-07-29 10:57:00,Completed
30,1000069,137,2026-05-30 10:55:00,,Open
31,1000074,156,2026-04-09 10:42:00,,Overdue
32,1000075,165,2024-11-29 10:09:00,2024-12-02 10:09:00,Completed
33,1000076,57,2024-09-25 14:29:00,,Open
34,1000077,16,2026-01-31 12:41:00,,Overdue
35,1000079,102,2025-10-19 14:32:00,2025-10-23 14:32:00,Completed
36,1000080,37,2024-09-04 08:39:00,2024-09-05 08:39:00,Completed
37,1000082,80,2025-08-31 10:33:00,2025-09-03 10:33:00,Completed
38,1000086,29,2025-03-23 11:16:00,2025-03-25 11:16:00,Completed
39,1000089,104,2025-05-08 13:08:00,2025-05-10 13:08:00,Completed
40,1000090,107,2026-02-15 08:22:00,2026-02-15 08:22:00,Completed
41,1000093,23,2026-04-13 11:09:00,2026-04-16 11:09:00,Completed
42,1000097,121,2025-06-28 11:20:00,2025-06-27 11:20:00,Completed
43,1000098,149,2025-08-25 10:06:00,2025-08-27 10:06:00,Completed
44,1000100,193,2026-02-19 10:24:00,2026-02-22 10:24:00,Completed
45,1000103,7,2025-12-25 13:04:00,,Overdue
46,1000104,97,2025-02-25 15:03:00,2025-02-28 15:03:00,Completed
47,1000105,162,2024-10-23 09:37:00,2024-10-23 09:37:00,Completed
48,1000107,270,2024-12-04 09:22:00,2024-12-07 09:22:00,Completed
49,1000109,68,2026-03-02 15:33:00,2026-03-01 15:33:00,Completed
50,1000110,8,2026-01-08 12:19:00,2026-01-08 12:19:00,Completed
51,1000111,16,2025-03-19 14:13:00,2025-03-19 14:13:00,Completed
52,1000112,18,2025-01-08 10:38:00,2025-01-12 10:38:00,Completed
53,1000114,2,2024-12-19 12:15:00,2024-12-21 12:15:00,Completed
54,1000117,237,2026-02-10 12:10:00,2026-02-12 12:10:00,Completed
55,1000120,122,2025-10-26 08:27:00,2025-10-27 08:27:00,Completed
56,1000121,5,2024-12-17 09:49:00,,Open
57,1000124,118,2024-10-08 11:49:00,,Open
58,1000125,249,2025-05-31 11:05:00,2025-06-01 11:05:00,Completed
59,1000126,121,2026-06-27 15:52:00,2026-06-29 15:52:00,Completed
60,1000127,186,2024-09-28 11:14:00,2024-09-27 11:14:00,Completed
61,1000129,32,2025-09-30 11:06:00,2025-10-03 11:06:00,Completed
62,1000130,101,2026-05-09 12:29:00,2026-05-13 12:29:00,Completed
63,1000131,193,2025-11-30 10:02:00,2025-12-02 10:02:00,Completed
64,1000132,15,2025-08-24 08:00:00,2025-08-27 08:00:00,Completed
65,1000136,170,2026-01-12 12:10:00,,Open
66,1000144,85,2024-09-20 15:01:00,2024-09-21 15:01:00,Completed
67,1000146,82,2025-11-27 14:20:00,,Overdue
68,1000147,84,2024-12-16 12:08:00,2024-12-17 12:08:00,Completed
69,1000148,93,2024-09-23 13:44:00,,Open
70,1000149,18,2025-10-17 16:14:00,2025-10-21 16:14:00,Completed
71,1000150,237,2025-05-14 12:06:00,2025-05-16 12:06:00,Completed
72,1000152,66,2024-11-16 10:53:00,2024-11-18 10:53:00,Completed
73,1000153,28,2025-07-02 11:25:00,2025-07-04 11:25:00,Completed
74,1000157,158,2026-01-17 16:11:00,2026-01-16 16:11:00,Completed
75,1000158,108,2025-09-21 10:30:00,2025-09-25 10:30:00,Completed
76,1000159,156,2026-05-20 16:54:00,,Open
77,1000160,40,2025-06-06 12:01:00,,Overdue
78,1000161,84,2024-10-08 09:07:00,2024-10-12 09:07:00,Completed
79,1000163,64,2026-03-01 12:00:00,2026-03-04 12:00:00,Completed
80,1000164,52,2024-10-26 08:08:00,,Open
81,1000167,143,2025-04-29 12:35:00,,Overdue
82,1000168,265,2025-12-07 16:06:00,2025-12-07 16:06:00,Completed
