note_id,request_id,author_user_id,note_type,visibility_level,note_text,created_at
1,1000002,249,Follow-up,School Team,Operational note for case 1000002 capturing workflow action and next step.,2025-03-30 15:27:00
2,1000003,6,Intake,Restricted,Operational note for case 1000003 capturing workflow action and next step.,2026-02-09 14:01:00
3,1000003,6,Intake,Internal,Operational note for case 1000003 capturing workflow action and next step.,2026-02-10 14:01:00
4,1000004,73,Intake,Internal,Operational note for case 1000004 capturing workflow action and next step.,2025-10-21 08:10:00
5,1000004,73,Intake,School Team,Operational note for case 1000004 capturing workflow action and next step.,2025-10-28 08:10:00
6,1000005,107,Coordination,School Team,Operational note for case 1000005 capturing workflow action and next step.,2024-09-11 16:31:00
7,1000006,208,Follow-up,Restricted,Operational note for case 1000006 capturing workflow action and next step.,2025-02-04 14:24:00
8,1000007,19,Coordination,Internal,Operational note for case 1000007 capturing workflow action and next step.,2025-02-19 16:30:00
9,1000008,55,Intake,Restricted,Operational note for case 1000008 capturing workflow action and next step.,2024-11-08 09:46:00
10,1000009,66,Follow-up,Restricted,Operational note for case 1000009 capturing workflow action and next step.,2024-09-26 10:50:00
11,1000009,66,Coordination,School Team,Operational note for case 1000009 capturing workflow action and next step.,2024-09-22 10:50:00
12,1000010,215,Intake,Internal,Operational note for case 1000010 capturing workflow action and next step.,2026-01-19 13:53:00
13,1000012,93,Coordination,Restricted,Operational note for case 1000012 capturing workflow action and next step.,2025-09-26 08:03:00
14,1000012,93,Resolution,Restricted,Operational note for case 1000012 capturing workflow action and next step.,2025-09-27 08:03:00
15,1000013,196,Coordination,School Team,Operational note for case 1000013 capturing workflow action and next step.,2025-08-22 14:01:00
16,1000014,73,Intake,School Team,Operational note for case 1000014 capturing workflow action and next step.,2026-07-04 09:00:00
17,1000014,73,Intake,Restricted,Operational note for case 1000014 capturing workflow action and next step.,2026-06-22 09:00:00
18,1000015,97,Resolution,Internal,Operational note for case 1000015 capturing workflow action and next step.,2025-09-13 08:27:00
